attack_type;target_system;outcome;timestamp;attacker_ip;target_ip;data_compromised_GB;attack_duration_min;security_tools_used;user_role;location;attack_severity;industry;response_time_min;mitigation_method
SQL Injection;IoT Device;Success;52:23.1;246.159.161.195;78.229.245.238;32.14;269;VPN;Employee;France;4;Technology;155;Containment
Ransomware;Web Server;Failure;54:59.1;6.117.85.98;117.168.255.59;60.58;185;Firewall;Employee;Germany;10;Energy;64;Patch
Malware;Cloud Service;Success;54:18.1;220.115.174.143;230.21.188.170;29.47;89;Antivirus;Admin;Canada;2;Healthcare;54;Patch
Brute Force;Email Server;Failure;41:44.1;62.232.52.236;56.28.139.145;52.08;277;MFA;Admin;Germany;10;Retail;30;Reset Credentials
Malware;Network Switch;Success;12:04.1;131.193.236.33;157.110.168.67;39.1;94;WAF;Admin;Russia;5;Manufacturing;27;Block IP
DDoS;Web Server;Failure;00:02.1;231.216.195.194;118.41.73.232;1.76;299;Firewall;Admin;Australia;9;Finance;158;Reset Credentials
Brute Force;User Account;Success;33:44.1;146.250.186.216;88.153.87.211;9.55;186;Antivirus;Admin;UK;9;Finance;50;Reset Credentials
Cross-Site Scripting;Cloud Service;Success;42:36.1;175.212.197.254;86.119.22.33;21.5;39;VPN;Employee;France;4;Retail;88;Reset Credentials
Cross-Site Scripting;IoT Device;Failure;36:05.1;89.146.242.61;53.117.225.80;50.03;2;Antivirus;Admin;USA;6;Education;61;Patch
Malware;Web Server;Success;04:20.1;89.49.104.41;85.230.159.69;58.72;66;Antivirus;Employee;Australia;9;Education;55;Quarantine
SQL Injection;Network Switch;Failure;23:32.1;163.7.60.85;211.47.56.244;49.75;150;Antivirus;Employee;UK;10;Manufacturing;61;Reset Credentials
Ransomware;User Account;Success;02:39.1;252.21.178.172;168.176.228.119;53.08;44;SIEM;External User;China;9;Finance;149;Reset Credentials
Malware;IoT Device;Failure;33:20.1;122.207.44.193;90.143.249.69;42.03;298;IDS;Contractor;Brazil;1;Energy;94;Quarantine
Malware;Email Server;Failure;23:01.1;170.177.8.55;207.58.210.79;46.66;157;IDS;Employee;USA;9;Manufacturing;115;Containment
Zero-Day Exploit;Email Server;Success;08:24.1;23.36.19.242;56.99.140.191;15.25;153;Endpoint Detection;Employee;Australia;4;Retail;60;Block IP
Zero-Day Exploit;API;Failure;37:48.1;164.248.30.118;80.74.74.39;50.67;48;VPN;Employee;Brazil;4;Education;105;Block IP
Malware;Database;Success;07:58.1;248.209.59.41;137.93.87.131;76.48;144;Antivirus;Employee;China;8;Retail;122;Block IP
Brute Force;Database;Failure;21:29.1;121.73.180.227;158.16.121.135;29.7;82;SIEM;Admin;China;8;Government;5;Reset Credentials
DDoS;IoT Device;Failure;31:36.1;165.163.132.77;63.145.12.200;20.17;173;Antivirus;Contractor;Germany;8;Finance;25;Quarantine
Brute Force;IoT Device;Success;25:50.1;230.162.2.40;251.154.197.50;15.84;72;Firewall;External User;USA;9;Technology;70;Patch
Ransomware;Database;Failure;09:20.1;48.39.98.3;78.182.22.9;97.23;157;SIEM;Admin;Germany;6;Healthcare;16;Block IP
Malware;Email Server;Failure;28:23.1;208.29.63.189;237.107.104.253;45.73;163;Firewall;Contractor;Brazil;6;Healthcare;74;Quarantine
Zero-Day Exploit;User Account;Success;29:41.1;43.1.173.172;130.68.157.199;56.8;166;SIEM;Contractor;India;1;Government;124;Patch
Phishing;Network Switch;Success;43:14.1;78.189.43.158;213.229.50.204;48.71;74;Firewall;Employee;France;1;Energy;86;Reset Credentials
Zero-Day Exploit;User Account;Failure;11:42.1;72.153.217.69;157.183.57.65;46.73;53;WAF;External User;China;1;Manufacturing;33;Patch
Phishing;User Account;Failure;14:44.1;194.223.59.244;10.11.84.227;24.82;288;MFA;Contractor;USA;9;Finance;131;Quarantine
DDoS;Database;Failure;54:32.1;176.78.238.211;183.200.40.187;21.87;227;IDS;Admin;Russia;4;Finance;29;Containment
Cross-Site Scripting;Email Server;Failure;45:23.1;185.183.46.241;37.26.38.38;41.68;126;VPN;Employee;France;1;Healthcare;17;Patch
Cross-Site Scripting;Email Server;Success;04:58.1;187.29.224.212;63.93.56.117;71.96;30;WAF;Admin;China;4;Finance;142;Reset Credentials
Zero-Day Exploit;Cloud Service;Success;34:12.1;219.74.78.172;124.129.70.233;97.25;97;SIEM;Admin;India;2;Technology;12;Reset Credentials
DDoS;Email Server;Failure;35:38.1;22.149.252.166;247.166.238.244;85.6;149;Antivirus;Contractor;Russia;7;Retail;16;Block IP
Brute Force;IoT Device;Success;46:34.1;124.242.101.78;111.46.27.201;38.19;214;WAF;External User;Brazil;3;Government;87;Patch
Cross-Site Scripting;Database;Success;49:18.1;44.183.48.54;106.65.70.153;35.56;295;Firewall;External User;USA;6;Retail;118;Patch
Ransomware;User Account;Failure;55:31.1;113.56.104.33;201.128.254.112;40.73;136;SIEM;External User;Australia;7;Government;178;Patch
Zero-Day Exploit;Database;Success;42:21.1;204.47.37.17;121.224.11.170;81.55;196;VPN;Employee;Australia;3;Technology;176;Quarantine
Brute Force;API;Failure;18:50.1;59.84.78.233;74.34.164.70;10.27;34;MFA;Employee;India;9;Education;65;Containment
Cross-Site Scripting;Email Server;Failure;43:55.1;57.80.252.103;104.150.46.216;11.29;41;Antivirus;Employee;Brazil;2;Technology;84;Quarantine
Ransomware;API;Failure;00:01.1;87.124.200.251;143.179.16.177;60.09;57;Antivirus;Contractor;Russia;10;Technology;85;Containment
Malware;User Account;Failure;52:42.1;96.71.29.217;14.173.182.244;1.8;96;VPN;Employee;Germany;7;Retail;92;Block IP
SQL Injection;IoT Device;Success;09:04.1;216.63.136.1;41.110.52.205;56.91;27;IDS;Contractor;Australia;10;Healthcare;153;Containment
Zero-Day Exploit;IoT Device;Success;33:39.1;39.199.67.57;173.18.229.228;83.12;126;WAF;Contractor;France;5;Manufacturing;178;Containment
Ransomware;Cloud Service;Success;24:15.1;72.14.84.100;236.208.124.129;86.29;234;VPN;Contractor;UK;8;Education;110;Patch
DDoS;IoT Device;Failure;26:21.1;182.75.134.239;225.135.136.233;20.76;223;Firewall;Contractor;UK;4;Healthcare;100;Containment
Brute Force;User Account;Success;54:34.1;188.159.36.218;80.70.29.239;11.89;136;Endpoint Detection;Admin;Brazil;7;Retail;123;Quarantine
Brute Force;API;Success;15:33.1;220.200.50.216;62.113.59.44;98.74;92;Endpoint Detection;Admin;China;4;Education;10;Quarantine
Malware;User Account;Failure;38:39.1;118.176.168.141;127.47.201.232;69.75;235;Firewall;Employee;Russia;2;Technology;51;Containment
SQL Injection;Network Switch;Failure;21:49.1;102.162.65.177;167.207.134.122;4.15;229;VPN;External User;Australia;4;Retail;135;Patch
Malware;Cloud Service;Failure;15:56.1;189.74.246.240;28.36.228.172;13.09;36;Endpoint Detection;External User;France;2;Retail;108;Quarantine
Malware;Web Server;Success;47:58.1;180.9.205.3;5.34.58.184;90.62;168;VPN;Admin;France;4;Energy;168;Quarantine
Brute Force;Database;Success;20:36.1;187.97.208.208;69.56.196.41;97.01;9;IDS;Employee;Russia;3;Healthcare;96;Block IP
Cross-Site Scripting;Cloud Service;Failure;16:57.1;217.85.41.167;44.47.166.114;80.86;198;VPN;Admin;Germany;6;Finance;52;Quarantine
Cross-Site Scripting;Network Switch;Success;08:01.1;181.230.129.21;156.180.95.76;24.1;227;WAF;Employee;China;8;Energy;115;Containment
Malware;Cloud Service;Failure;56:10.1;240.164.208.196;4.141.194.72;75.23;31;Antivirus;Employee;France;8;Government;123;Containment
Brute Force;Email Server;Success;22:06.1;110.52.137.202;49.142.7.252;64.36;19;Antivirus;Contractor;France;1;Education;136;Reset Credentials
Zero-Day Exploit;Network Switch;Failure;41:18.1;36.67.101.53;163.116.212.230;97.59;163;Firewall;Employee;France;10;Manufacturing;54;Reset Credentials
SQL Injection;Web Server;Success;27:18.1;190.157.254.236;154.51.63.199;85.56;195;IDS;Admin;Russia;4;Healthcare;153;Containment
DDoS;Web Server;Success;10:06.1;157.12.53.158;167.43.149.6;64.27;69;WAF;Contractor;Russia;10;Technology;173;Containment
Ransomware;Email Server;Failure;49:33.1;253.186.30.51;163.23.127.129;52.8;253;Antivirus;External User;Russia;1;Government;78;Containment
Cross-Site Scripting;Database;Success;06:43.1;63.121.176.193;54.199.182.76;97.23;167;WAF;Contractor;Canada;8;Energy;147;Quarantine
Phishing;User Account;Failure;25:50.1;104.70.28.160;104.189.30.46;57.29;2;Firewall;Employee;France;2;Government;145;Reset Credentials
Zero-Day Exploit;IoT Device;Failure;14:40.1;51.242.9.182;254.32.168.216;55.37;221;MFA;Employee;USA;4;Technology;54;Block IP
Zero-Day Exploit;Web Server;Failure;53:50.1;165.178.163.170;53.202.206.146;21.71;156;Endpoint Detection;External User;Brazil;4;Healthcare;172;Patch
Brute Force;Database;Failure;29:24.1;52.56.246.250;229.60.130.108;73.51;274;WAF;Contractor;Australia;2;Healthcare;93;Patch
Zero-Day Exploit;API;Failure;50:38.1;129.107.10.163;232.152.94.115;88.43;95;Firewall;External User;India;1;Government;136;Quarantine
SQL Injection;Network Switch;Success;46:09.1;10.106.209.157;233.83.232.169;74.85;60;VPN;Admin;Australia;4;Manufacturing;24;Containment
Brute Force;Cloud Service;Success;23:26.1;94.76.88.221;103.212.106.226;47.76;157;WAF;Employee;USA;9;Government;37;Quarantine
DDoS;Web Server;Failure;15:12.1;90.149.112.195;35.64.106.235;39.79;175;WAF;Employee;India;2;Technology;162;Patch
Malware;Network Switch;Failure;26:56.1;159.15.161.150;103.223.78.225;35.1;28;Endpoint Detection;Employee;Brazil;3;Retail;13;Block IP
Brute Force;Network Switch;Failure;55:14.1;110.174.162.205;118.8.164.216;92.41;79;SIEM;Admin;Australia;1;Technology;100;Block IP
SQL Injection;Database;Failure;48:03.1;76.145.98.147;47.18.155.107;65.78;297;SIEM;External User;UK;9;Healthcare;85;Block IP
Zero-Day Exploit;Network Switch;Success;10:09.1;204.184.87.91;11.139.148.42;69.17;36;Antivirus;Employee;USA;6;Government;82;Block IP
DDoS;API;Success;05:58.1;33.175.23.73;40.47.170.35;71.93;124;Endpoint Detection;Employee;Russia;1;Manufacturing;135;Quarantine
Cross-Site Scripting;Database;Success;52:32.1;155.67.182.198;218.252.20.76;18.14;67;Firewall;Employee;UK;5;Government;69;Block IP
Ransomware;IoT Device;Failure;38:28.1;44.115.191.121;224.116.6.179;53.52;280;Firewall;External User;Russia;4;Healthcare;84;Containment
Ransomware;Web Server;Failure;41:51.1;172.201.243.180;65.155.196.153;21.92;227;MFA;External User;Australia;8;Technology;118;Patch
DDoS;IoT Device;Failure;42:17.1;58.239.58.185;226.119.162.141;31.01;240;IDS;Contractor;UK;9;Government;141;Block IP
Phishing;Database;Failure;03:39.1;195.241.205.208;84.13.185.92;6.78;83;Endpoint Detection;Admin;India;5;Government;41;Patch
Cross-Site Scripting;Database;Success;57:32.1;102.218.3.198;152.182.92.29;64.46;251;IDS;Employee;USA;8;Healthcare;143;Block IP
Brute Force;Email Server;Failure;00:25.1;89.210.144.135;148.106.196.135;59.35;33;SIEM;Contractor;India;8;Manufacturing;64;Patch
Brute Force;User Account;Failure;10:00.1;127.91.153.208;13.36.238.135;25.09;170;Firewall;Employee;Australia;1;Retail;21;Containment
Cross-Site Scripting;Network Switch;Failure;12:10.1;24.133.103.54;59.212.1.60;33.6;186;SIEM;Employee;Canada;3;Manufacturing;134;Block IP
Phishing;Cloud Service;Failure;36:16.1;210.29.156.3;25.205.132.249;15.18;147;Firewall;Employee;USA;1;Education;161;Reset Credentials
Zero-Day Exploit;Web Server;Failure;48:21.1;221.66.59.213;254.80.143.186;99.91;156;MFA;External User;Australia;7;Education;127;Quarantine
Cross-Site Scripting;Web Server;Success;16:17.1;190.122.22.197;82.50.113.90;23.71;57;Antivirus;Employee;USA;6;Healthcare;151;Reset Credentials
SQL Injection;API;Failure;23:02.1;157.61.185.4;189.39.151.47;72.43;291;Firewall;Employee;Canada;7;Healthcare;3;Patch
Malware;IoT Device;Failure;13:27.1;220.169.96.192;132.178.93.241;80.9;131;SIEM;Admin;India;7;Manufacturing;177;Containment
Phishing;Network Switch;Success;00:40.1;44.109.50.233;83.114.153.217;41.02;241;Antivirus;Contractor;China;9;Finance;59;Patch
Cross-Site Scripting;User Account;Success;46:54.1;25.167.86.166;39.197.155.77;99.98;117;Firewall;External User;USA;3;Energy;146;Containment
Brute Force;Network Switch;Success;10:49.1;246.176.111.32;190.254.254.74;86.19;77;Firewall;Employee;France;8;Technology;26;Reset Credentials
Malware;Network Switch;Failure;04:33.1;90.110.185.9;1.119.92.162;65.77;70;SIEM;External User;Germany;5;Energy;25;Patch
SQL Injection;Web Server;Failure;02:12.1;188.110.189.190;165.100.206.193;44.59;208;Endpoint Detection;Admin;Australia;8;Retail;164;Containment
SQL Injection;Network Switch;Failure;37:16.1;238.19.16.57;67.7.8.121;64.01;285;VPN;Contractor;France;1;Finance;138;Quarantine
Brute Force;Cloud Service;Failure;43:47.1;3.168.140.157;42.50.70.218;19.03;196;Endpoint Detection;Contractor;UK;3;Energy;153;Containment
Cross-Site Scripting;User Account;Failure;16:59.1;175.234.115.181;53.40.155.183;11.07;79;VPN;External User;Australia;5;Education;6;Patch
Zero-Day Exploit;User Account;Failure;56:05.1;34.55.124.172;121.17.133.135;70.71;244;Antivirus;Admin;France;7;Energy;40;Containment
DDoS;Email Server;Failure;23:45.1;192.100.231.221;108.190.33.37;68.96;211;Firewall;Contractor;Australia;3;Manufacturing;40;Containment
Brute Force;Network Switch;Failure;27:28.1;58.200.233.143;113.96.182.119;91.96;48;VPN;Employee;Germany;8;Government;91;Quarantine
DDoS;User Account;Success;28:08.1;163.246.204.214;167.252.151.62;42.4;114;Antivirus;Employee;UK;3;Manufacturing;41;Reset Credentials
Ransomware;IoT Device;Success;19:31.1;220.120.213.7;30.242.166.97;58.74;79;IDS;External User;USA;10;Retail;28;Containment
SQL Injection;Web Server;Success;50:23.1;221.143.254.52;114.234.114.249;20.18;156;SIEM;Contractor;Brazil;5;Manufacturing;91;Containment
Zero-Day Exploit;Database;Failure;42:05.1;221.248.202.232;193.112.161.164;68.39;109;WAF;Contractor;Canada;6;Government;17;Patch
SQL Injection;Web Server;Failure;12:56.1;113.227.133.104;151.154.95.44;15.34;259;Endpoint Detection;Contractor;Brazil;6;Retail;70;Containment
Brute Force;Email Server;Success;37:53.1;48.82.153.155;2.66.34.85;47.35;188;VPN;Admin;UK;7;Healthcare;4;Block IP
Brute Force;Database;Failure;28:55.1;254.183.112.243;80.82.23.18;29.53;94;Antivirus;Admin;India;6;Energy;86;Reset Credentials
Cross-Site Scripting;API;Failure;25:30.1;166.119.243.110;194.195.233.92;50.13;128;VPN;External User;China;9;Energy;115;Reset Credentials
Phishing;Email Server;Success;54:13.1;58.219.62.67;122.116.20.77;4.7;38;WAF;External User;Canada;2;Education;99;Quarantine
Ransomware;Database;Failure;37:37.1;110.171.185.101;9.245.131.255;29.97;17;MFA;Admin;UK;3;Technology;180;Containment
Brute Force;Database;Success;49:47.1;189.100.245.150;184.255.46.95;12.48;64;SIEM;External User;Germany;2;Manufacturing;163;Quarantine
Malware;Database;Success;41:43.1;139.125.169.217;133.12.27.136;42.32;185;IDS;Admin;India;5;Manufacturing;116;Quarantine
Cross-Site Scripting;Cloud Service;Success;10:29.1;193.235.218.54;35.147.200.145;86.06;198;Firewall;Employee;Germany;1;Finance;116;Block IP
Brute Force;IoT Device;Failure;08:29.1;228.5.54.53;250.161.176.143;67.3;174;SIEM;External User;China;6;Manufacturing;143;Block IP
SQL Injection;Web Server;Success;22:38.1;170.4.104.104;114.237.237.124;42.67;266;Antivirus;Employee;France;10;Manufacturing;70;Patch
Ransomware;API;Failure;14:01.1;154.69.110.7;135.22.175.183;86.58;259;VPN;External User;Russia;5;Government;119;Block IP
Ransomware;Database;Failure;37:03.1;179.94.170.41;246.133.22.94;64.06;64;Antivirus;Employee;Australia;1;Energy;100;Quarantine
Brute Force;API;Failure;22:46.1;105.228.201.238;68.175.169.80;38.64;75;IDS;Employee;India;8;Healthcare;62;Block IP
Ransomware;Database;Failure;20:10.1;246.134.10.243;231.141.45.226;64.2;63;WAF;Contractor;Australia;1;Healthcare;55;Block IP
Phishing;Web Server;Success;49:00.1;86.68.44.42;150.224.9.142;7.61;195;SIEM;Employee;France;3;Energy;60;Containment
Ransomware;IoT Device;Success;12:35.1;221.126.117.38;154.196.125.68;64.39;242;IDS;Admin;Canada;7;Retail;27;Containment
Ransomware;API;Failure;17:51.1;153.53.62.54;99.207.157.180;17.28;141;MFA;Employee;USA;9;Retail;71;Patch
SQL Injection;Web Server;Failure;42:14.1;168.250.251.93;153.213.242.8;19.11;258;Firewall;External User;France;6;Education;101;Containment
Phishing;API;Failure;02:29.1;53.85.4.40;54.244.99.136;23.56;122;SIEM;Admin;USA;5;Technology;4;Reset Credentials
DDoS;IoT Device;Failure;49:05.1;147.135.122.200;234.107.98.50;66.53;178;VPN;Admin;France;8;Retail;158;Quarantine
Cross-Site Scripting;API;Failure;33:47.1;187.85.236.12;210.33.241.23;57.76;75;IDS;External User;Australia;7;Government;30;Patch
Phishing;Network Switch;Failure;13:48.1;134.100.191.247;4.129.186.203;65.27;39;Firewall;Contractor;India;3;Manufacturing;123;Patch
Ransomware;User Account;Success;21:54.1;193.191.157.71;94.113.88.190;93.09;42;VPN;Employee;India;6;Healthcare;173;Quarantine
DDoS;API;Success;57:57.1;123.212.190.238;192.205.116.127;94.33;161;Antivirus;External User;Russia;6;Finance;51;Block IP
DDoS;API;Success;01:23.1;76.242.126.174;230.162.10.76;76.62;72;SIEM;Admin;China;1;Finance;145;Patch
Cross-Site Scripting;Network Switch;Success;33:44.1;88.92.131.15;109.81.26.243;6.8;267;IDS;External User;USA;9;Government;64;Containment
Brute Force;Web Server;Success;31:22.1;111.200.57.164;110.229.234.228;89.27;68;Antivirus;Admin;India;6;Government;32;Block IP
Zero-Day Exploit;Network Switch;Failure;29:05.1;5.252.196.175;73.199.20.203;97.44;213;SIEM;External User;Australia;9;Healthcare;70;Quarantine
SQL Injection;Cloud Service;Success;10:48.1;8.231.226.42;247.143.42.133;29.47;15;VPN;Admin;Germany;4;Healthcare;150;Patch
Malware;Cloud Service;Failure;59:12.1;62.68.206.251;212.160.143.29;45.13;233;SIEM;External User;UK;8;Technology;14;Quarantine
Zero-Day Exploit;Network Switch;Success;48:55.1;61.235.152.245;204.42.147.172;16.87;170;Firewall;Employee;UK;6;Finance;89;Patch
Phishing;API;Success;08:39.1;37.242.251.183;156.8.49.45;69.43;259;Endpoint Detection;External User;Russia;1;Finance;174;Containment
DDoS;User Account;Success;05:48.1;67.162.134.88;226.55.65.25;45.09;285;VPN;Contractor;France;2;Retail;147;Quarantine
Phishing;Cloud Service;Failure;54:48.1;206.41.18.42;206.32.191.58;95.46;99;Antivirus;Employee;Brazil;4;Healthcare;138;Containment
Ransomware;API;Success;00:06.1;15.225.22.119;141.254.233.6;93.05;192;Antivirus;Admin;Canada;4;Retail;128;Block IP
Ransomware;Web Server;Failure;12:55.1;195.5.99.229;141.227.104.48;2.66;293;SIEM;Contractor;Brazil;5;Energy;74;Patch
SQL Injection;Email Server;Success;27:00.1;224.97.198.11;59.28.214.165;34.48;249;Firewall;Admin;UK;10;Finance;39;Block IP
SQL Injection;IoT Device;Success;01:31.1;19.121.19.26;53.244.121.254;15.68;57;Endpoint Detection;External User;India;7;Education;135;Quarantine
Cross-Site Scripting;IoT Device;Success;14:16.1;161.162.180.126;44.203.68.34;50.11;195;MFA;Contractor;USA;5;Education;77;Reset Credentials
Malware;Database;Success;33:59.1;212.19.100.6;82.200.57.243;68.93;167;WAF;Employee;France;8;Finance;111;Block IP
Zero-Day Exploit;User Account;Success;16:55.1;4.45.1.44;115.207.249.140;28.5;210;Firewall;External User;UK;1;Government;102;Containment
Brute Force;User Account;Success;36:08.1;253.40.37.52;155.169.78.131;9.72;232;MFA;External User;Brazil;2;Retail;148;Block IP
Phishing;Web Server;Failure;24:15.1;29.179.137.170;98.25.165.110;19.28;1;IDS;Admin;USA;4;Healthcare;179;Quarantine
Brute Force;Email Server;Failure;22:41.1;31.8.121.75;153.175.241.243;21.76;211;Antivirus;External User;Canada;7;Education;175;Patch
Brute Force;Email Server;Failure;12:02.1;163.151.152.190;246.255.6.113;21.67;33;IDS;Contractor;India;2;Healthcare;118;Quarantine
Phishing;Email Server;Success;37:13.1;139.161.21.30;17.28.85.159;69.7;218;VPN;Contractor;UK;7;Healthcare;104;Quarantine
Malware;IoT Device;Success;02:26.1;138.61.102.82;21.69.95.200;6.26;88;Endpoint Detection;Admin;Russia;9;Government;37;Patch
Ransomware;User Account;Failure;37:46.1;60.50.163.219;170.151.241.172;49.11;8;WAF;Admin;Australia;4;Government;65;Reset Credentials
Phishing;API;Success;21:54.1;183.145.199.128;219.125.46.104;12.28;92;MFA;Employee;Germany;6;Healthcare;35;Patch
Cross-Site Scripting;User Account;Failure;40:23.1;199.200.141.73;101.172.182.122;4.41;59;Antivirus;Contractor;Australia;10;Energy;22;Reset Credentials
Malware;API;Success;15:07.1;161.79.33.106;19.57.27.105;51.49;196;MFA;External User;UK;3;Education;26;Block IP
SQL Injection;API;Success;59:32.1;205.1.55.22;52.55.176.75;95.85;236;IDS;Admin;Germany;4;Retail;51;Quarantine
Cross-Site Scripting;API;Success;29:09.1;156.192.81.17;41.181.14.19;32.54;108;Antivirus;Contractor;Germany;1;Healthcare;104;Quarantine
SQL Injection;Cloud Service;Failure;54:41.1;22.41.209.63;52.230.17.239;64.45;121;Antivirus;Contractor;UK;1;Technology;124;Block IP
Zero-Day Exploit;API;Success;08:08.1;131.203.222.55;219.99.204.73;31.44;176;IDS;Admin;France;6;Healthcare;95;Patch
Ransomware;Web Server;Failure;11:18.1;180.147.26.3;61.101.178.104;49.47;7;Firewall;External User;UK;10;Education;140;Patch
